id,title,body,rating
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
R1KCWCARGBP5IH,Wouldn't buy again,"It was a good idea. Wouldn't buy again. After having 2 years, it no longer works.",1
RGHFB9XYII9YN,Good product,Cleans floors good,5
RB5PWJSAZC7FK,Works well,I've had this vacuum for quite a while now. Seems to work very well other than I still can not get it to connect to my Android phone. I have spoke with their customer service department and it wasn't very helpful. So I just hit the start button before I leave,4
R1VYX4KK6R8UF0,Stopped working,"I bought this vacuum in July. Absolutely loved it for a couple months… now it doesn’t work. It only cleans one 6x2 rectangle randomly in the center of our living room and then docks. I have messed with all of the setting. I have messed with map, deleted the rooms, removed no-go zones. I have factory reset everything. I have cleaned it out and wiped it down. Nothing. The only way I can get it to work is by disconnecting it from WiFi AND the app and just pushing the clean button on the top, but even then it only does a slightly larger area. So disappointing especially after spending so much and loving it at first.",1
R38UVL2FJ8C9GA,Great while it lasted,Great than after a few months quit charging.,1
R1VPOIOYD7VTB4,It will (kinda) work if you help it along,"Grading system disclaimer:1 star: Does not do its job correctly and/or breaks too often to be worth it or useful. Wholeheartedly don't recommend purchasing2 stars: Barely does its job correctly and/or breaks too often to be worth it or useful. There are some saving graces3 stars: Does its job adequately and well. Didn't have any issues at all until at least a year after first using it. I will come back and amend a review if the item starts to fail sooner than it should4 stars: Does its job well and even surprised me5: Does its job exceptionally well and/or is more durable than what its price-point should suggest. Absolutely endorse this buyI'm not sure why this is called ""AI Ultra"" because while it does map out the area it will still try to shove its face into everything which you can hear the attempt. It often goes to an area that I don't want it to or I will have an area mapped out that i want to clean but it decides to skip it.I usually only let it vacuum while I'm home because i have to literally stop to guide it or move it off any obstacle that isn't nailed down. The suction itself is less than a handheld stick vacuum. I know this because i tested it once and I picked up even more dog hair.The water carrying compartment often leaks water which will cause problems if it gets onto the charging contact points.In less than a year I have had this replaced twice and both times have been a hassle. They did ultimately decide to replace it both times but IT IS NOT FREE. You have to pay for shipping which must be the most expensive shipping option for something that takes 3-10 to arrive.The most recent experience of troubleshooting goes like this: first call lasts about an hour of doing several things of trying to fix it which ends in recommending buying a new battery which btw IS NOT UNDER WARRANTY. They suggest that i buy a new battery. Just so everyone is aware I was quoted ~$80 to buy the battery on the phone. Amazon sells the shark branded batteries for ~$60 but there are plenty of compatible batteries online for ~$20. After purchasing the battery I called back and spent 30 mins explaining to them that I have already troubleshooted, bought and replaced the battery and still had issues. They told me that i had to go through the physical troubleshooting again so i called back the next day and DID DO TROUBLESHOOTING AGAIN. They did charge for shipping yet again which is a frustrating. Eufy is a direct competitor to this and I have had minor issues I could explain on the phone but never had me start a video call to go through a litany of troubleshooting measures. If i didn't already spend money on this unit I would switch. Might still end up switching if it breaks again after the warranty expires. FRUSTRATING EXPERIENCE. If you're going to charge $400 DO BETTER.",2
R2PXGDP7LLUQZ9,The Inbred 4th Cousin of iRoomba,"The media could not be loaded.
                 this robot vacuum gets stuck under the simplest things like a bedroom dresser. The funnier thing is, it will go behind the door of the bedroom and shut itself off on the doorstop unless I block the spring doorstop. That’s right, it actually turns its own power button off every single time on that doorstop.",1
R39UW33LNX7Y4Y,Better than new version for hair,The new version has moved the comb from the removable cartridge to under making this one super easy to clear the hair vs new version where roller and cartridge and then clean the vacuum,5
